下单乘客ID,服务订单,流水,最近坐车时间
387236,215,10086.00000000000000000000,2023-05-31
636013,187,9739.00000000000000000000,2023-05-31
1337489,183,6721.00000000000000000000,2023-05-31
692543,175,6155.00000000000000000000,2023-05-31
529862,150,6928.00000000000000000000,2023-05-29
531133,139,6007.00000000000000000000,2023-05-31
405501,139,5141.00000000000000000000,2023-05-31
403885,138,5210.00000000000000000000,2023-05-31
210067,130,6529.00000000000000000000,2023-05-29
990653,128,14610.00000000000000000000,2023-05-31
1029736,121,7259.00000000000000000000,2023-05-19
190174,116,4060.00000000000000000000,2023-05-31
851283,115,10178.00000000000000000000,2023-05-31
946183,115,13804.00000000000000000000,2023-05-31
399039,110,3350.00000000000000000000,2023-05-30
364972,99,4048.00000000000000000000,2023-05-04
393466,98,3440.00000000000000000000,2023-05-29
437164,97,3020.00000000000000000000,2023-05-31
802983,92,9256.00000000000000000000,2023-05-28
460751,90,6200.00000000000000000000,2023-05-28
277882,89,3760.00000000000000000000,2023-05-31
684096,88,2640.00000000000000000000,2023-05-31
388477,86,3040.00000000000000000000,2023-05-31
519279,86,3035.00000000000000000000,2023-05-28
1162013,84,2940.00000000000000000000,2023-05-31
308334,83,9704.00000000000000000000,2023-05-30
395557,80,3583.00000000000000000000,2023-05-30
1253218,75,3185.00000000000000000000,2023-05-30
863075,75,3240.00000000000000000000,2023-05-31
213588,72,2530.00000000000000000000,2023-05-31
647431,70,2460.00000000000000000000,2023-05-31
565747,68,2385.00000000000000000000,2023-05-29
451662,64,2965.00000000000000000000,2023-05-28
1109892,62,3491.00000000000000000000,2023-05-13
214287,61,2543.00000000000000000000,2023-05-31
1245381,61,2135.00000000000000000000,2023-05-31
632573,59,2070.00000000000000000000,2023-05-31
469332,59,6399.00000000000000000000,2023-05-31
382804,58,2080.00000000000000000000,2023-05-31
487144,58,3275.00000000000000000000,2023-05-28
753942,58,1878.00000000000000000000,2023-05-30
239342,56,5588.00000000000000000000,2023-05-31
625348,55,2981.00000000000000000000,2023-05-31
531101,54,2220.00000000000000000000,2023-05-31
261399,54,2520.00000000000000000000,2023-05-29
261172,53,1855.00000000000000000000,2023-05-22
640300,52,1820.00000000000000000000,2023-05-30
198655,52,2005.00000000000000000000,2023-05-30
326037,52,4746.00000000000000000000,2023-05-31
206038,51,1790.00000000000000000000,2023-05-30
389200,51,5501.00000000000000000000,2023-05-30
389005,51,2122.00000000000000000000,2023-05-29
361574,49,4973.00000000000000000000,2023-05-31
569927,49,2303.00000000000000000000,2023-05-28
829975,49,4804.00000000000000000000,2023-05-31
649497,49,2378.00000000000000000000,2023-05-21
1138821,47,1831.00000000000000000000,2023-05-28
981431,45,1690.00000000000000000000,2023-05-28
671156,45,1580.00000000000000000000,2023-05-30
615152,44,1820.00000000000000000000,2023-05-19
1264342,44,5472.00000000000000000000,2023-05-29
671588,43,2334.00000000000000000000,2023-05-30
272123,43,1540.00000000000000000000,2023-05-28
779294,43,1975.00000000000000000000,2023-05-29
252567,43,1505.00000000000000000000,2023-05-12
314217,43,1505.00000000000000000000,2023-05-30
1023671,43,2075.00000000000000000000,2023-05-31
466113,43,4407.00000000000000000000,2023-05-30
728136,42,1515.00000000000000000000,2023-05-15
383876,42,2134.00000000000000000000,2023-05-31
320363,42,3650.00000000000000000000,2023-05-27
569595,42,2011.00000000000000000000,2023-05-29
1311265,42,1580.00000000000000000000,2023-05-15
524933,42,4584.00000000000000000000,2023-05-31
385394,42,1475.00000000000000000000,2023-05-29
647554,42,1905.00000000000000000000,2023-05-29
217315,42,1475.00000000000000000000,2023-05-28
681291,42,1610.00000000000000000000,2023-05-25
342263,42,2328.00000000000000000000,2023-05-28
1303742,41,1721.00000000000000000000,2023-05-29
214847,41,1470.00000000000000000000,2023-05-31
824629,41,1631.00000000000000000000,2023-05-31
612666,40,1400.00000000000000000000,2023-05-25
822473,40,1630.00000000000000000000,2023-05-27
909240,39,1430.00000000000000000000,2023-05-27
547552,39,3860.00000000000000000000,2023-05-27
624886,39,1585.00000000000000000000,2023-05-26
280838,39,1639.00000000000000000000,2023-05-29
1068113,39,1428.00000000000000000000,2023-05-28
561026,39,2256.00000000000000000000,2023-05-30
522385,38,1728.00000000000000000000,2023-05-31
277917,38,4644.00000000000000000000,2023-05-30
1327038,38,1809.00000000000000000000,2023-05-29
472618,38,3756.00000000000000000000,2023-05-29
1010687,38,1425.00000000000000000000,2023-05-23
662611,38,1570.00000000000000000000,2023-05-24
871536,38,1578.00000000000000000000,2023-05-19
489964,38,1365.00000000000000000000,2023-05-25
434878,37,1788.00000000000000000000,2023-05-26
230928,37,1461.00000000000000000000,2023-05-30
1352306,37,1240.00000000000000000000,2023-05-31
411165,37,1410.00000000000000000000,2023-05-31
1220879,37,1603.00000000000000000000,2023-05-29
1226716,37,1506.00000000000000000000,2023-05-30
436747,37,1200.00000000000000000000,2023-05-21
188272,37,1398.00000000000000000000,2023-05-27
460232,37,1375.00000000000000000000,2023-05-31
328041,37,1665.00000000000000000000,2023-05-27
323129,37,1665.00000000000000000000,2023-05-22
385598,37,1335.00000000000000000000,2023-05-28
435093,37,1370.00000000000000000000,2023-05-05
969752,36,1540.00000000000000000000,2023-05-25
537909,36,4348.00000000000000000000,2023-05-18
1226521,36,1265.00000000000000000000,2023-05-24
1326607,36,1435.00000000000000000000,2023-05-28
512359,36,1450.00000000000000000000,2023-05-28
410446,35,4130.00000000000000000000,2023-05-31
277909,35,1736.00000000000000000000,2023-05-28
988213,35,2483.00000000000000000000,2023-05-29
670906,35,1739.00000000000000000000,2023-05-27
1252560,35,1510.00000000000000000000,2023-05-29
1349119,35,1288.00000000000000000000,2023-05-30
1050710,35,1245.00000000000000000000,2023-05-28
217591,35,4470.00000000000000000000,2023-05-25
163359,35,1308.00000000000000000000,2023-05-30
344983,35,3371.00000000000000000000,2023-05-30
1176051,35,1458.00000000000000000000,2023-05-31
440255,35,1478.00000000000000000000,2023-05-21
826751,34,1388.00000000000000000000,2023-05-31
823476,34,1858.00000000000000000000,2023-05-28
924669,34,1370.00000000000000000000,2023-05-29
1178082,34,1273.00000000000000000000,2023-05-28
1285262,34,1400.00000000000000000000,2023-05-17
245684,34,1303.00000000000000000000,2023-05-31
566861,34,1318.00000000000000000000,2023-05-31
1376947,34,1891.00000000000000000000,2023-05-12
711486,34,1190.00000000000000000000,2023-05-30
458674,33,1350.00000000000000000000,2023-05-30
851183,33,1330.00000000000000000000,2023-05-29
1141167,33,1155.00000000000000000000,2023-05-24
931906,33,2220.00000000000000000000,2023-05-25
453684,33,1195.00000000000000000000,2023-05-28
849759,33,1544.00000000000000000000,2023-05-30
