订单服务日期,流水
2019/8/1,69241.74
2019/8/2,78142.74
2019/8/3,79027.02
2019/8/4,76123.84
2019/8/5,83993.85
2019/8/6,81371.45
2019/8/7,79507.97
2019/8/8,82829.59
2019/8/9,85406.73
2019/8/10,82350.43
2019/8/11,76827.37
2019/8/12,81753.31
2019/8/13,74185.85
2019/8/14,75881.51
2019/8/15,76295.07
2019/8/16,108614.17
2019/8/17,93542.32
2019/8/18,101642.21
2019/8/19,102697.72
2019/8/20,98698.86
2019/8/21,92870.69
2019/8/22,102721.98
2019/8/23,113468.18
2019/8/24,96290.25
2019/8/25,97266.33
2019/8/26,98299.57
2019/8/27,91831.65
2019/8/28,105855.3
2019/8/29,91509.38
2019/8/30,106680.61
2019/8/31,108831.48
2019/9/1,104382.47
2019/9/2,84997.07
2019/9/3,86037.78
2019/9/4,79736.34
2019/9/5,75178.64
2019/9/6,103637.63
2019/9/7,91940.28
2019/9/8,97968.26
2019/9/9,84560.04
2019/9/10,71251.45
2019/9/11,79655.74
2019/9/12,121396.29
2019/9/13,89499.3
2019/9/14,98350.67
2019/9/15,132665.43
2019/9/16,89751.94
2019/9/17,77986.99
2019/9/18,70358.02
2019/9/19,74100.29
2019/9/20,91782.86
2019/9/21,81602.58
2019/9/22,84778.01
2019/9/23,79787.22
2019/9/24,63335.64
2019/9/25,67833.42
2019/9/26,79911.36
2019/9/27,92287.22
2019/9/28,88066.66
2019/9/29,97344.35
2019/9/30,141404.35
2019/10/1,108214.42
2019/10/2,96648.88
2019/10/3,95709.84
2019/10/4,100133.95
2019/10/5,99861.6
2019/10/6,121823.91
2019/10/7,138364.14
2019/10/8,80374.33
2019/10/9,74394.36
2019/10/10,73352.69
2019/10/11,88371.56
2019/10/12,95876.71
2019/10/13,99510.17
2019/10/14,80476.76
2019/10/15,74374.8
2019/10/16,78911.08
2019/10/17,72194.59
2019/10/18,108243.06
2019/10/19,99334.2
2019/10/20,114437.83
2019/10/21,92734.49
2019/10/22,76030.74
2019/10/23,80295.81
2019/10/24,90212.05
2019/10/25,124038.96
2019/10/26,100552.01
2019/10/27,115455
2019/10/28,88877.25
2019/10/29,84585.64
2019/10/30,79837.86
2019/10/31,78639.8
2019/11/1,121192.41
2019/11/2,118720.83
2019/11/3,135514.8
2019/11/4,99545.51
2019/11/5,85622.69
2019/11/6,90434.49
2019/11/7,89432.98
2019/11/8,123605.47
2019/11/9,113791.67
2019/11/10,129015.55
2019/11/11,109423.97
2019/11/12,88374.91
2019/11/13,93697.13
2019/11/14,98590.31
2019/11/15,136128.07
2019/11/16,115252.05
2019/11/17,145801.11
2019/11/18,109212.81
2019/11/19,95113.32
2019/11/20,96716.07
2019/11/21,94579.26
2019/11/22,129305.4
2019/11/23,116590.77
2019/11/24,136962.17
2019/11/25,107019.72
2019/11/26,91973.73
2019/11/27,101278.35
2019/11/28,98914.05
2019/11/29,147111.34
2019/11/30,138326.28
2019/12/1,149199.61
2019/12/2,117149.42
2019/12/3,96156.13
2019/12/4,106366.51
2019/12/5,110749.66
2019/12/6,146945.74
2019/12/7,140119.69
2019/12/8,145201.59
2019/12/9,107622.39
2019/12/10,111879.62
2019/12/11,106179.16
2019/12/12,107153.53
2019/12/13,148023.64
2019/12/14,119277.55
2019/12/15,146015.85
2019/12/16,121858.28
2019/12/17,115844.51
2019/12/18,105155.31
2019/12/19,100972.42
2019/12/20,147752.4
2019/12/21,114981.83
2019/12/22,139039.68
2019/12/23,120096.66
2019/12/24,105894.16
2019/12/25,115802.03
2019/12/26,99377.62
2019/12/27,147997.31
2019/12/28,118304.5
2019/12/29,153051.36
2019/12/30,131023.28
2019/12/31,146962.06
2020/1/1,138456.92
2020/1/2,129572.16
2020/1/3,155723.18
2020/1/4,123163.02
2020/1/5,136145.66
2020/1/6,135043.61
2020/1/7,127278.19
2020/1/8,135886.92
2020/1/9,139796.89
2020/1/10,174122.88
2020/1/11,160891.12
2020/1/12,145396.18
2020/1/13,148091.18
2020/1/14,142171.23
2020/1/15,148415.72
2020/1/16,141512.85
2020/1/17,154161.42
2020/1/18,145823.81
2020/1/19,147153.49
2020/1/20,148201.92
2020/1/21,140567.45
2020/1/22,140695.89
2020/1/23,101981.49
2020/1/24,27000.68
2020/1/25,14441.31
2020/1/26,32155
2020/1/27,26392.04
2020/1/28,22705.05
2020/1/29,20222.05
2020/1/30,20661.4
2020/1/31,15464.05
2020/2/1,16694.96
2020/2/2,23457
2020/2/3,16175.99
2020/2/4,11792
2020/2/5,13334.96
2020/2/6,12278.81
2020/2/7,13164
2020/2/8,19401
2020/2/9,36922.98
2020/2/10,22068
2020/2/11,16019
2020/2/12,16386
2020/2/13,17071
2020/2/14,15640.01
2020/2/15,16201.14
2020/2/16,25831
2020/2/17,23820
2020/2/18,22971.01
2020/2/19,26191.02
2020/2/20,20828.94
2020/2/21,31127.4
2020/2/22,24286.71
2020/2/23,34518.44
2020/2/24,35120.86
2020/2/25,27730.32
2020/2/26,30665.64
2020/2/27,33325.22
2020/2/28,37885.2
2020/2/29,35372.62
2020/3/1,48171.34
2020/3/2,49826.51
2020/3/3,44668.01
2020/3/4,47038.51
2020/3/5,43097.11
2020/3/6,52117.87
2020/3/7,37594.91
2020/3/8,54739.9
2020/3/9,53592.41
2020/3/10,43667.51
2020/3/11,53554.31
2020/3/12,47015.11
2020/3/13,62346.21
2020/3/14,57360.45
2020/3/15,67255.82
2020/3/16,63679.54
2020/3/17,51115
2020/3/18,60368.78
2020/3/19,61576.84
2020/3/20,75151.39
2020/3/21,69679.98
2020/3/22,73345.16
2020/3/23,84688.08
2020/3/24,67705.93
2020/3/25,83118.54
2020/3/26,72532.13
2020/3/27,80917.67
2020/3/28,74372.51
2020/3/29,89935
2020/3/30,73584.17
2020/3/31,71374.27
2020/4/1,72149.51
2020/4/2,77153.81
2020/4/3,110543.13
2020/4/4,85737.07
2020/4/5,84156.83
2020/4/6,115271.58
2020/4/7,92633.45
2020/4/8,75830.89
2020/4/9,66752.05
2020/4/10,90224.21
2020/4/11,71902.01
2020/4/12,82998.03
2020/4/13,78594.25
2020/4/14,73372.1
2020/4/15,81288.95
2020/4/16,78691.39
2020/4/17,102272.99
2020/4/18,85713.04
2020/4/19,102664.9
2020/4/20,92322.05
2020/4/21,76716.34
2020/4/22,70190.46
2020/4/23,81633.14
2020/4/24,86076.1
2020/4/25,78787.42
2020/4/26,86490.7
2020/4/27,91487.42
2020/4/28,84144.52
2020/4/29,96818.31
2020/4/30,142032.6
2020/5/1,146631.22
2020/5/2,108794.52
2020/5/3,121092.5
2020/5/4,110248.4
2020/5/5,139693.21
2020/5/6,110739.94
2020/5/7,93451.83
2020/5/8,94918.36
2020/5/9,108259.6
2020/5/10,108161.14
2020/5/11,107600.39
2020/5/12,95672.61
2020/5/13,100177.33
2020/5/14,93916.75
2020/5/15,131754.84
2020/5/16,121896.82
2020/5/17,135254.05
2020/5/18,121422.84
2020/5/19,101142.64
2020/5/20,109727.45
2020/5/21,106292.64
2020/5/22,125372.2
2020/5/23,120224.05
2020/5/24,130020.94
2020/5/25,120107.91
2020/5/26,101760.42
2020/5/27,99834.96
2020/5/28,104017.68
2020/5/29,133919.16
2020/5/30,121542.43
2020/5/31,130454.29
2020/6/1,121927.51
2020/6/2,103780.96
2020/6/3,102945.83
2020/6/4,96606.92
2020/6/5,125499.97
2020/6/6,114052.36
2020/6/7,127235.74
2020/6/8,107929.38
2020/6/9,99481.56
2020/6/10,97908.97
2020/6/11,106141.6
2020/6/12,134255.67
2020/6/13,116737.25
2020/6/14,132019.12
2020/6/15,127658.26
2020/6/16,97128.31
2020/6/17,101533.85
2020/6/18,100919.09
2020/6/19,127551.09
2020/6/20,117880.93
2020/6/21,125900.01
2020/6/22,118910.1
2020/6/23,109697.83
2020/6/24,173468.91
2020/6/25,147459.32
2020/6/26,138381.69
2020/6/27,174628.88
2020/6/28,132765.34
2020/6/29,121351.3
2020/6/30,126063.42
2020/7/1,114902.94
2020/7/2,122846.72
2020/7/3,146561.42
2020/7/4,133684.8
2020/7/5,152312.11
2020/7/6,138501.29
2020/7/7,113277.75
2020/7/8,118234.25
2020/7/9,126615.59
2020/7/10,157192.59
2020/7/11,134005.31
2020/7/12,150285.98
2020/7/13,148066.47
2020/7/14,130421.17
2020/7/15,135439.08
2020/7/16,140119.79
2020/7/17,163114.63
2020/7/18,143327.32
2020/7/19,155979.59
2020/7/20,145370.44
2020/7/21,128874.74
2020/7/22,125137.77
2020/7/23,130806.12
2020/7/24,163756.63
2020/7/25,152590.78
2020/7/26,161623.61
2020/7/27,153404.94
2020/7/28,137803.63
2020/7/29,133364.07
2020/7/30,125194.37
2020/7/31,154578.39
2020/8/1,152190.75
2020/8/2,155465.26
2020/8/3,146248.33
2020/8/4,127522.39
2020/8/5,137683.24
2020/8/6,128761.13
2020/8/7,167018.4
2020/8/8,146264.87
2020/8/9,169858.93
2020/8/10,159440.11
2020/8/11,118499.74
2020/8/12,134155.45
2020/8/13,134887.43
2020/8/14,167696.86
2020/8/15,156227.31
2020/8/16,175753.12
2020/8/17,162594.34
2020/8/18,147780.76
2020/8/19,139721.48
2020/8/20,148283.47
2020/8/21,175438.25
2020/8/22,163823.87
2020/8/23,182933.29
2020/8/24,173801.9
2020/8/25,152588.41
2020/8/26,163452.96
2020/8/27,156414.8
2020/8/28,182652.6
2020/8/29,171129.69
2020/8/30,184176.93
2020/8/31,164815.04
2020/9/1,141354.74
2020/9/2,144874.82
2020/9/3,143642.23
2020/9/4,175968.15
2020/9/5,165359.96
2020/9/6,173522.09
2020/9/7,146256.18
2020/9/8,129116.75
2020/9/9,130902.69
2020/9/10,125874.86
2020/9/11,180146.48
2020/9/12,160674.17
2020/9/13,179732.64
2020/9/14,137792.37
2020/9/15,130632.83
2020/9/16,135621.45
2020/9/17,134867.35
2020/9/18,166057.71
2020/9/19,161379.54
2020/9/20,171599.21
2020/9/21,145386.25
2020/9/22,129156.65
2020/9/23,122929.79
2020/9/24,127555.77
2020/9/25,152574.8
2020/9/26,148783.13
2020/9/27,135087.18
2020/9/28,144603.97
2020/9/29,149950.81
2020/9/30,238250.86
2020/10/1,195006.63
2020/10/2,183382.97
2020/10/3,182232.08
2020/10/4,196480.71
2020/10/5,184053.9
2020/10/6,176197.29
2020/10/7,191597.79
2020/10/8,213525.05
2020/10/9,150941.08
2020/10/10,147200.47
2020/10/11,144900.34
2020/10/12,130447.11
2020/10/13,107942.32
2020/10/14,111698.77
2020/10/15,110585.08
2020/10/16,158713.51
2020/10/17,138416.06
2020/10/18,167269.42
2020/10/19,131679.42
2020/10/20,115729.95
2020/10/21,111087.46
2020/10/22,117826.97
2020/10/23,171552.81
2020/10/24,159425.93
2020/10/25,187384.19
2020/10/26,141459.24
2020/10/27,114507.96
2020/10/28,120800.13
2020/10/29,122728.06
2020/10/30,177055.82
2020/10/31,167213.54
2020/11/1,188266.44
2020/11/2,140183.28
2020/11/3,120716.75
2020/11/4,120594.31
2020/11/5,126884.12
2020/11/6,170729.27
2020/11/7,155027.73
2020/11/8,190199.62
2020/11/9,140982.05
2020/11/10,118951.58
2020/11/11,125610.64
2020/11/12,124775.78
2020/11/13,176678.36
2020/11/14,162339.39
2020/11/15,189225.95
2020/11/16,140890
2020/11/17,120233.6
2020/11/18,124506.8
2020/11/19,133762.38
2020/11/20,180463.55
2020/11/21,164855.67
2020/11/22,197199.22
2020/11/23,149220.45
2020/11/24,128222.52
2020/11/25,132453.47
2020/11/26,136547.97
2020/11/27,187458.57
2020/11/28,175101.94
2020/11/29,202786.92
2020/11/30,159589.78
2020/12/1,129701.22
2020/12/2,130646.48
2020/12/3,134397.07
2020/12/4,195735.73
2020/12/5,165098.22
2020/12/6,197936.28
2020/12/7,152771.3
2020/12/8,129864.59
2020/12/9,129438.03
2020/12/10,127698.73
2020/12/11,172267.82
2020/12/12,167393.43
2020/12/13,182370.32
2020/12/14,140055.25
2020/12/15,128130.52
2020/12/16,121823.15
2020/12/17,121455.71
2020/12/18,175821.21
2020/12/19,168328.71
2020/12/20,191797.08
2020/12/21,159221.57
2020/12/22,129453.76
2020/12/23,112148.68
2020/12/24,127139.79
2020/12/25,180474.34
2020/12/26,160399.26
2020/12/27,167286.97
2020/12/28,151971.9
2020/12/29,123271.43
2020/12/30,136968.93
2020/12/31,230892.66
2021/1/1,207781.86
2021/1/2,166599.24
2021/1/3,229524.93
2021/1/4,157653.87
2021/1/5,132033.37
2021/1/6,137313.15
2021/1/7,130595.57
2021/1/8,167306.4
2021/1/9,162081.28
2021/1/10,163411.79
2021/1/11,145512.06
2021/1/12,131981.64
2021/1/13,131275.19
2021/1/14,136388.37
2021/1/15,181913.03
2021/1/16,143601.48
2021/1/17,150456.06
2021/1/18,126749.73
2021/1/19,122031.05
2021/1/20,117791.36
2021/1/21,108920.15
2021/1/22,152439.43
2021/1/23,130242.56
2021/1/24,134718.26
2021/1/25,138542.73
2021/1/26,119239.75
2021/1/27,129355.93
2021/1/28,127496.17
2021/1/29,131137.3
2021/1/30,122356.75
2021/1/31,134490
2021/2/1,124997.48
2021/2/2,116485.49
2021/2/3,107571.79
2021/2/4,118213.23
2021/2/5,132709.45
2021/2/6,136621.75
2021/2/7,127195.03
2021/2/8,138626.65
2021/2/9,147573.89
2021/2/10,143744.41
2021/2/11,51834.21
2021/2/12,47240.21
2021/2/13,69066.6
2021/2/14,88140.26
2021/2/15,108027.45
2021/2/16,127434.29
2021/2/17,200296.66
2021/2/18,159476.46
2021/2/19,177162.1
2021/2/20,185842.04
2021/2/21,174812.05
2021/2/22,143295.3
2021/2/23,144248.27
2021/2/24,134659.5
2021/2/25,139249.39
2021/2/26,161497.01
2021/2/27,224941.88
2021/2/28,202467.55
2021/3/1,173215.64
2021/3/2,158732.66
2021/3/3,136481.28
2021/3/4,133132.61
2021/3/5,168593.33
2021/3/6,155379.8
2021/3/7,182009.55
2021/3/8,131022.28
2021/3/9,142679.68
2021/3/10,124844.92
2021/3/11,132779.82
2021/3/12,177026.99
2021/3/13,183927.61
2021/3/14,206827.44
2021/3/15,142042.2
2021/3/16,131394.78
2021/3/17,120082.88
2021/3/18,118013.5
2021/3/19,175743.55
2021/3/20,173979.36
2021/3/21,180981.47
2021/3/22,139492.54
2021/3/23,125121.7
2021/3/24,121164.68
2021/3/25,129247.8
2021/3/26,175179.26
2021/3/27,169850.57
2021/3/28,176933.03
2021/3/29,143419.07
2021/3/30,130608.82
2021/3/31,132469.33
2021/4/1,148174.61
2021/4/2,235651.33
2021/4/3,226840.61
2021/4/4,166474.27
2021/4/5,257593.39
2021/4/6,184622.68
2021/4/7,139500.38
2021/4/8,122511.18
2021/4/9,171432.32
2021/4/10,161886.1
2021/4/11,175028.35
2021/4/12,135834.06
2021/4/13,132994.03
2021/4/14,130691.71
2021/4/15,129693.23
2021/4/16,178583.37
2021/4/17,171400.15
2021/4/18,181591.44
2021/4/19,158786.33
2021/4/20,123503.92
2021/4/21,127410.52
2021/4/22,111593.67
2021/4/23,161516.89
2021/4/24,154524.68
2021/4/25,137796.43
2021/4/26,135628.88
2021/4/27,134197.01
2021/4/28,142967.2
2021/4/29,165805.38
2021/4/30,281873.03
2021/5/1,268972.65
2021/5/2,221485.53
2021/5/3,217457.65
2021/5/4,224623.05
2021/5/5,283437.89
2021/5/6,191168.52
2021/5/7,145556.24
2021/5/8,156103.74
2021/5/9,174256.37
2021/5/10,159234.56
2021/5/11,133319.35
2021/5/12,136269.03
2021/5/13,136722.98
2021/5/14,179618.74
2021/5/15,178312.83
2021/5/16,188747.39
2021/5/17,158483.83
2021/5/18,134332.71
2021/5/19,135556.16
2021/5/20,134036.84
2021/5/21,194257.01
2021/5/22,170403.69
2021/5/23,186257.57
2021/5/24,147829.18
2021/5/25,130361.89
2021/5/26,137325.46
2021/5/27,134009.12
2021/5/28,189781.52
2021/5/29,174335.88
2021/5/30,184472.55
2021/5/31,142198.78
2021/6/1,122603.16
2021/6/2,121329.25
2021/6/3,123783.44
2021/6/4,161307.34
2021/6/5,146696.7
2021/6/6,165902.85
2021/6/7,126504.33
2021/6/8,125972.57
2021/6/9,130842.4
2021/6/10,123981.81
2021/6/11,220546.84
2021/6/12,210161.13
2021/6/13,166918.41
2021/6/14,219144.67
2021/6/15,192563.15
2021/6/16,145461.77
2021/6/17,126669.48
2021/6/18,171045.1
2021/6/19,150472.1
2021/6/20,169664.81
2021/6/21,148354.23
2021/6/22,140731.62
2021/6/23,138541.38
2021/6/24,137780.57
2021/6/25,179265.89
2021/6/26,153311.68
2021/6/27,179989.5
2021/6/28,162749.54
2021/6/29,151462.4
2021/6/30,168855.32
2021/7/1,160345.16
2021/7/2,193170.82
2021/7/3,180786.68
2021/7/4,191452.77
2021/7/5,176461.86
2021/7/6,172237.38
2021/7/7,175214.22
2021/7/8,167198.9
2021/7/9,220215.2
2021/7/10,203043.96
2021/7/11,222995.08
2021/7/12,189775.1
2021/7/13,174328.14
2021/7/14,171754.82
2021/7/15,170987.5
2021/7/16,196996.21
2021/7/17,181556.39
2021/7/18,197909.17
2021/7/19,180212.82
2021/7/20,165174.14
2021/7/21,158217.47
2021/7/22,162022.9
2021/7/23,210419.21
2021/7/24,180480.14
2021/7/25,198535.23
2021/7/26,183092.4
2021/7/27,164833.4
2021/7/28,155806.51
2021/7/29,139298.02
2021/7/30,182982.7
2021/7/31,138950.88
2021/8/1,119336.23
2021/8/2,111426.03
2021/8/3,95401.45
2021/8/4,97525.79
2021/8/5,84399.47
2021/8/6,102765.71
2021/8/7,81282.14
2021/8/8,84262.52
2021/8/9,85160.36
2021/8/10,74843.67
2021/8/11,76285.43
2021/8/12,75487.04
2021/8/13,115828.61
2021/8/14,121214.9
2021/8/15,136829.42
2021/8/16,125193.48
2021/8/17,111177.25
2021/8/18,120751.08
2021/8/19,123229.91
2021/8/20,166124.33
2021/8/21,151793.87
2021/8/22,163958.02
2021/8/23,169473.99
2021/8/24,162155.6
2021/8/25,163352.14
2021/8/26,157874.48
2021/8/27,200798.65
2021/8/28,182707.66
2021/8/29,197425.95
2021/8/30,169404.72
2021/8/31,157569.77
2021/9/1,159279.4
2021/9/2,154900.03
2021/9/3,205735.28
2021/9/4,207443.22
2021/9/5,213886
2021/9/6,169935.25
2021/9/7,133368.29
2021/9/8,138884.79
2021/9/9,145703.85
2021/9/10,193594.26
2021/9/11,170473.9
2021/9/12,201677.54
2021/9/13,158558.55
2021/9/14,105971.3
2021/9/15,100588.33
2021/9/16,103345.69
2021/9/17,106516.65
2021/9/18,150866.69
2021/9/19,131158.1
2021/9/20,98250.24
2021/9/21,130925.77
2021/9/22,137904.9
2021/9/23,96304.96
2021/9/24,104682.78
2021/9/25,81326.17
2021/9/26,90462.37
2021/9/27,88090.43
2021/9/28,91410.53
2021/9/29,133031.07
2021/9/30,209898.38
2021/10/1,195567.16
2021/10/2,140190.42
2021/10/3,163223.16
2021/10/4,145411.11
2021/10/5,148543.75
2021/10/6,158243.47
2021/10/7,204570.16
2021/10/8,174504.41
2021/10/9,158068
2021/10/10,154233.16
2021/10/11,148084.43
2021/10/12,127399.36
2021/10/13,138458.51
2021/10/14,149182.27
2021/10/15,202039.46
2021/10/16,174160.59
2021/10/17,208920.75
2021/10/18,164893.67
2021/10/19,128526
2021/10/20,142008.58
2021/10/21,142356.24
2021/10/22,207024.28
2021/10/23,177068.8
2021/10/24,207152.56
2021/10/25,157832.59
2021/10/26,134841.84
2021/10/27,139725.43
2021/10/28,125802.67
2021/10/29,196692.07
2021/10/30,178072.99
2021/10/31,200820.34
2021/11/1,146807.08
2021/11/2,127556.21
2021/11/3,130685.58
2021/11/4,120624.26
2021/11/5,177325.05
2021/11/6,157796.77
2021/11/7,172446.89
2021/11/8,143019.52
2021/11/9,125985.19
2021/11/10,124816.69
2021/11/11,135618.1
2021/11/12,192121.03
2021/11/13,166132.96
2021/11/14,206924.19
2021/11/15,163765.26
2021/11/16,131359.53
2021/11/17,137118.87
